"GB_Accession" "Start_of_CDS" "End_of_CDS" "Type" "Product" "Protein_ID" "Gene"
"1...1161" "GU441835.1" 1 1365 "gene" NA NA "NMMP1"
"2...1162" "GU441835.1" 70 1164 "CDS" "matrix metalloprotease 1" "ADD21635.1" "matrixin"
"1...1163" "FJ755171.1" 44 1635 "gene" NA NA "AT3-1"
"2...1164" "FJ755171.1" 44 781 "CDS" NA NA NA
"3...1165" "FJ755171.1" 1130 1635 NA NA NA NA
"1...1166" "GQ223796.1" 1 1221 "CDS" "adenylyl cyclase" "ACR77530.1" NA
"1...1167" "FJ463755.1" 1 2004 "gene" "ER luminal-binding protein" "ACK55195.1" "BLP4"
"1...1168" "EU194916.1" 1 1257 "gene" "branched-chain aminotransferase" "ABW76425.1" "BCAT"
"1...1169" "AB360636.1" 1 1119 "gene" "MAP kinase kinase" NA "NbMEK2"
"1...1170" "GU189242.1" 1 1212 "gene" "Tap46" "ACZ65511.1" "Tap46"
"1...1171" "DQ465395.1" 91 975 "CDS" "SRC2-like protein" "ABE98329.1" "C2-domain containing protein"
"1...1172" "DQ447646.1" 1 483 "CDS" "BTF3" "ABE01085.1" "NbBTF3"
"1...1173" "DQ000300.1" 1 933 "gene" "TSC13 protein" "AAY17262.1" "TSC13"
"1...1174" "AY701316.1" 1 1584 "CDS" "autophagy protein beclin1" "AAW80627.1" NA
"1...1175" "AY847958.1" 1 221 "mRNA" NA NA NA
"2...1176" "AY847958.1" 542 791 NA "ubiquitin/s27a 40s ribosomal protein" "AAW56553.1" NA
"1...1177" "AY438029.1" 1 925 "gene" NA NA "NDR1"
"2...1178" "AY438029.1" 85 702 "CDS" "NDR1-like protein" "AAR21296.1" "NbNDR1"
"1...1179" "AY450851.1" 1 6429 "gene" "phytocalpain" "AAQ55288.2" "DEK"
"1...1180" "AY351387.1" 120 2315 "CDS" "DNA gyrase B subunit" "AAR07943.1" NA
"1...1181" "AY351386.1" 132 2939 "CDS" "DNA gyrase A subunit" "AAR07942.1" NA
"1...1182" "FJ824852.1" 41 706 "CDS" "QM" "ACT65738.1" "NbQM"
"1...1183" "AF494085.1" 1 594 "CDS" "CSN8" "AAO85511.1" NA
"1...1184" "AY135174.1" 1 1097 "gene" NA NA "PAF1"
"2...1185" "AY135174.1" 64 888 "CDS" "20S proteasome alpha 6 subunit" "AAN07899.1" "NbPAF1"
"1...1186" "FM244835.1" 1 945 "gene" "fibrillarin 2" NA "fib2"
"1...1187" "HB870707.1" 64 888 "CDS" NA NA NA
"1...1188" "HB777464.1" 1 978 "CDS" NA NA NA
"1...1189" "HB776220.1" 1 978 "CDS" NA NA NA
"1...1190" "HB832796.1" 517 852 "CDS" NA NA NA
"1...1191" "HB816087.1" 1 483 "CDS" NA NA NA
"1...1192" "HB810327.1" 1 483 "CDS" NA NA NA
"1...1193" "HB738892.1" 1 1740 "CDS" NA NA NA
"1...1194" "HB786628.1" 1 1191 "CDS" NA NA NA
"1...1195" "HB819725.1" 1 483 "CDS" NA NA NA
"1...1196" "HB783822.1" 1 2553 "CDS" NA NA NA
"1...1197" "HB748588.1" 1 1740 "CDS" NA NA NA
"1...1198" "HB801929.1" 1 1740 "CDS" NA NA NA
"1...1199" "HB669231.1" 1 1740 "CDS" NA NA NA
"1...1200" "HB694814.1" 1 1740 "CDS" NA NA NA
"1...1201" "HB701998.1" 1 462 "CDS" NA NA NA
"1...1202" "HB689414.1" 1 1191 "CDS" NA NA NA
"1...1203" "HB696598.1" 1 1191 "CDS" NA NA NA
"1...1204" "FN432043.1" 1 1231 "gene" NA NA "ncapp"
"2...1205" "FN432043.1" 1 77 "5'UTR" NA NA NA
"3...1206" "FN432043.1" 78 1151 "CDS" "non-cell-autonomous protein pathway" NA NA
"4...1207" "FN432043.1" 1152 1231 "3'UTR" NA NA NA
"1...1208" "FN432042.1" 1 37 "5'UTR" NA NA NA
"2...1209" "FN432042.1" 38 655 "CDS" "PME inhibitor" NA NA
"3...1210" "FN432042.1" 656 738 "3'UTR" NA NA NA
"1...1211" "EU998971.1" 1 1058 "gene" NA NA "HB1"
"2...1212" "EU998971.1" 29 820 "CDS" "homeodomain leucine-zipper 1" "ACL27274.1" "transcription factor"
"1...1213" "EU998969.1" 1 1584 "gene" NA NA "CAT1"
"2...1214" "EU998969.1" 42 1520 "CDS" "catalase" "ACL27272.1" NA
"1...1215" "EU563474.1" 17 1870 "CDS" "methyltransferase" "ACB54686.1" NA
"1...1216" "AB304782.1" 1 891 "CDS" "S-adenosylmethionine decarboxylase" NA NA
"1...1217" "AB304781.1" 1 566 "CDS" "polyamine oxidase" NA NA
"1...1218" "AB304780.1" 1 356 "CDS" "spermine synthase" NA NA
"1...1219" "AB304779.1" 1 837 "CDS" "spermidine synthase" NA NA
"1...1220" "AB304778.1" 1 1302 "CDS" "ornithine decarboxylase" NA NA
"1...1221" "AB304777.1" 1 599 "CDS" "arginine decarboxylase" NA NA
"1...1222" "FB916569.1" 1 1191 "CDS" NA NA NA
"1...1223" "FB868833.1" 1 1740 "CDS" NA NA NA
"1...1224" "FB913763.1" 1 2553 "CDS" NA NA NA
"1...1225" "FB878529.1" 1 1740 "CDS" NA NA NA
"1...1226" "FB907405.1" 1 978 "CDS" NA NA NA
"1...1227" "FB906161.1" 1 978 "CDS" NA NA NA
"1...1228" "FB826539.1" 1 1191 "CDS" NA NA NA
"1...1229" "FB824755.1" 1 1740 "CDS" NA NA NA
"1...1230" "FB799172.1" 1 1740 "CDS" NA NA NA
"1...1231" "FB831939.1" 1 462 "CDS" NA NA NA
"1...1232" "FB819355.1" 1 1191 "CDS" NA NA NA
"1...1233" "EU862552.1" 1 291 "CDS" "SUMO" "ACJ54186.1" NA
"1...1234" "AB247455.1" 1 2154 "gene" "lectin receptor kinase-like protein" NA "NbLRK1"
"1...1235" "EU117119.1" 1 1470 "gene" "serine palmitoyltransferase long chain base subunit" "ABW97709.1" "LCB2"
"1...1236" "EU016516.1" 1 666 "CDS" "Ran binding protein" "ABS50234.1" "RanBP1"
"1...1237" "EU243336.1" 144 1202 "CDS" "bypass1" "ABX26124.1" NA
"1...1238" "EU243335.1" 77 1135 "CDS" "bypass2" "ABX26123.1" NA
"1...1239" "FM212563.1" 1 448 "gene" NA NA "tom3"
"2...1240" "FM212563.1" 1 62 "5'UTR" NA NA NA
"3...1241" "FM212563.1" 63 448 "CDS" "TOM3 protein" NA NA
"1...1242" "FM212562.1" 1 621 "gene" NA NA "tom1"
"2...1243" "FM212562.1" 1 620 "CDS" "TOM1 protein" NA NA
"1...1244" "FB336782.1" 1 735 "CDS" NA NA NA
"1...1245" "FB336780.1" 1 729 "CDS" NA NA NA
"1...1246" "AM423109.1" 1 1221 "gene" "Ran GTPase activating protein" NA "ranGAP2"
"1...1247" "AM423108.1" 1 1602 "gene" "Ran GTPase activating protein" NA "ranGAP1"
"1...1248" "AB373026.1" 1 1185 "gene" "MAP kinase" NA "NbNTF4"
"1...1249" "AB373025.1" 1 1182 "gene" "MAP kinase" NA "NbSIPK"
"1...1250" "AB360635.1" 1 1065 "gene" "MAP kinase" NA "NbMEK1"
"1...1251" "AB360634.1" 1 1116 "gene" "MAP kinase" NA "NbNTF6"
"1...1252" "EU375892.1" 1 1329 "5'UTR" NA NA NA
"2...1253" "EU375892.1" 1330 4095 "CDS" "PHO2" "ACB12194.1" "NbPHO2"
"3...1254" "EU375892.1" 4096 4247 "3'UTR" NA NA NA
"1...1255" "EU645483.1" 1 834 "gene" "chloroplast photosystem II 22 kDa component" "ACC95540.1" "psbS1"
"1...1256" "AB303300.1" 1 1707 "gene" "nitric oxide associated 1" NA "NOA1"
"1...1257" "EU332891.1" 1 876 "gene" NA NA "NRIP1"
"2...1258" "EU332891.1" 64 621 "CDS" "chloroplast N receptor-interacting protein 1" "ACA79925.1" "chloroplastic rhodanese sulfurtransferase"
"1...1259" "EU332890.1" 651 2342 "gene" NA NA "NRIP1"
"2...1260" "EU332890.1" 651 886 "mRNA" NA NA NA
"3...1261" "EU332890.1" 989 1099 NA NA NA NA
"4...1262" "EU332890.1" 1224 1297 NA NA NA NA
"5...1263" "EU332890.1" 1431 1501 NA NA NA NA
"6...1264" "EU332890.1" 1611 1664 NA NA NA NA
"7...1265" "EU332890.1" 2013 2342 NA "chloroplast N receptor-interacting protein 1" NA NA
"8...1266" "EU332890.1" 714 886 "CDS" NA NA NA
"9...1267" "EU332890.1" 2013 2087 NA "chloroplast N receptor-interacting protein 1" "ACA79924.1" "chloroplastic rhodanese sulfurtransferase"
"1...1268" "EU490403.1" 17 1870 "CDS" "putative methyltransferase" "ACA66248.1" "MtsNb"
"1...1269" "DQ875140.1" 1 3471 "CDS" "myosin VIII-B" "ABJ53202.1" NA
"1...1270" "DQ875139.1" 1 3591 "CDS" "myosin VIII-2" "ABJ53201.1" NA
"1...1271" "DQ875138.1" 1 3453 "CDS" "myosin VIII-1" "ABJ53200.1" NA
"1...1272" "DQ875137.1" 1 4590 "CDS" "myosin XI-K" "ABJ53199.1" NA
"1...1273" "DQ875136.1" 1 4710 "CDS" "myosin XI-F" "ABJ53198.1" NA
"1...1274" "DQ875135.1" 1 4539 "CDS" "myosin XI-2" "ABJ53197.1" NA
"1...1275" "EU165356.1" 1 1490 "gene" NA NA "PMT"
"2...1276" "EU165356.1" 71 1237 "CDS" "putrescine N-methyltransferase" "ABY25273.1" "S-adenosyl methionine-dependent methyltransferase enzyme"
"1...1277" "EU165355.1" 1 2046 "gene" NA NA "PDS"
"2...1278" "EU165355.1" 224 1984 "CDS" "phytoene desaturase" "ABY25272.1" "carotenoid/retinoid oxidoreductase enzyme"
"1...1279" "EU430512.1" 1 1359 "gene" NA NA "ZN"
"2...1280" "EU430512.1" 106 1248 "CDS" "chloroplast zebra-necrosis protein" "ACA03877.1" NA
"1...1281" "DQ531849.1" 1 928 "gene" NA NA "ARF1"
"2...1282" "DQ531849.1" 115 660 "CDS" "ADP-ribosylation factor 1" "ABF74733.1" NA
"1...1283" "EF562629.1" 1 48 "5'UTR" NA NA NA
"2...1284" "EF562629.1" 49 1599 "CDS" "xylosyltransferase 2" "ABU48859.1" NA
"3...1285" "EF562629.1" 1600 2072 "3'UTR" NA NA NA
"1...1286" "AB290186.1" 1 465 "gene" "small heat shock protein" NA "Nbshsp"
"1...1287" "DQ469932.1" 1 1761 "CDS" "phytoene desaturase" "ABE99707.1" "down regulation of PDS leads to photo-bleaching phenotype"
"1...1288" "AJ504730.1" 1 1842 "gene" "bromodomain-containing RNA-binding protein 2" NA "brp2"
"1...1289" "AJ504729.1" 1 1848 "gene" "bromodomain-containing RNA-binding protein 1" NA "brp1"
"1...1290" "EF396238.1" 1 1861 "gene" NA NA "RanGAP1"
"2...1291" "EF396238.1" 1 1605 "CDS" "RAN GTPase-activating protein 1" "ABQ51814.1" NA
"1...1292" "EF396237.1" 1 1976 "gene" NA NA "RanGAP2"
"2...1293" "EF396237.1" 93 1718 "CDS" "RAN GTPase-activating protein 2" "ABQ51813.1" NA
"1...1294" "EF471738.1" 1 3645 "gene" "BRI1 protein" "ABO27628.1" "BRI1"
"1...1295" "DQ000202.1" 1 1812 "CDS" "VIP2" "AAY15746.1" "host factor believed to have a functional role in Agrobacterium-mediated plant transformation"
"1...1296" "AB207048.1" 1 2710 "gene" NA NA "NbCdc27B"
"2...1297" "AB207048.1" 122 2374 "CDS" "Cdc27B" NA NA
"1...1298" "AM269909.1" 1 954 "gene" NA NA "fib2"
"2...1299" "AM269909.1" 1 945 "CDS" "fibrillarin 2" NA NA
"1...1300" "EF530201.1" 1 756 "CDS" "ribosomal protein L25" "ABP88855.1" "5S rRNA E-loop biding protein"
"1...1301" "EF474476.1" 1 1230 "CDS" "4-diphosphocytidyl-2-C-methyl-D-erythritol kinase" "ABO87658.1" "IspE"
"1...1302" "AM261863.1" 1 581 "gene" "tom1 protein" NA "TOM1"
"1...1303" "EF137254.1" 1 1590 "CDS" "Impa2" "ABM05488.1" "NbImpa2"
"1...1304" "EF137253.1" 1 1599 "CDS" "Impa1" "ABM05487.1" "NbImpa1"
"1...1305" "AB243987.1" 1 1270 "gene" NA NA "MAPKK"
"2...1306" "AB243987.1" 40 1017 "CDS" "mitogen-activated protein kinase kinase" NA NA
"1...1307" "EF421432.1" 1 1170 "gene" "chalcone synthase" "ABN80439.1" "Chs"
"1...1308" "EF421431.1" 1 1149 "gene" "dihydroflavonol 4-reductase" "ABN80438.1" "Dfr1"
"1...1309" "DQ340567.1" 1 3207 "gene" NA NA "psbS1"
"2...1310" "DQ340567.1" 1 222 "mRNA" NA NA NA
"3...1311" "DQ340567.1" 356 472 NA NA NA NA
"4...1312" "DQ340567.1" 1874 2123 NA NA NA NA
"5...1313" "DQ340567.1" 2963 3207 NA "chloroplast photosystem II 22 kDa component" "ABC59516.1" "psbS1"
"1...1314" "DQ340566.1" 1 3212 "gene" NA NA "psbS2"
"2...1315" "DQ340566.1" 1 213 "mRNA" NA NA NA
"3...1316" "DQ340566.1" 336 452 NA NA NA NA
"4...1317" "DQ340566.1" 1941 2190 NA NA NA NA
"5...1318" "DQ340566.1" 2968 3212 NA "chloroplast photosystem II 22 kDa component" "ABC59515.1" "psbS2"
"1...1319" "DQ297413.1" 1 1017 "gene" "microtubule-associated protein" "ABB97536.1" "MPB2C"
"1...1320" "EF189156.1" 1 465 "gene" NA NA "H2b"
"2...1321" "EF189156.1" 1 444 "CDS" "histone 2b" "ABM67703.1" NA
"1...1322" "AJ619956.2" 1 1020 "gene" NA NA "samt"
"2...1323" "AJ619956.2" 40 1020 "CDS" "S-adenosylmethionine transporter" NA NA
"1...1324" "AY887536.1" 1 690 "gene" NA NA "psbQ"
"2...1325" "AY887536.1" 4 690 "CDS" "chloroplast oxygen-evolving protein 16 kDa subunit" "AAW80966.1" "OEC"
"1...1326" "EF032736.1" 64 1677 "CDS" "nodulation signaling pathway 1-like protein" "ABJ51763.1" "NSP1-like protein"
"1...1327" "AY952375.1" 1 1048 "gene" NA NA "psbO"
"2...1328" "AY952375.1" 11 1009 "CDS" "chloroplast photosynthetic oxygen-evolving protein 33 kDa subunit" "AAX53163.1" "OEC"
"1...1329" "DQ393833.1" 1 669 "CDS" "eukaryotic translation initiation factor 4E" "ABD57972.1" "Nb-eIF4E"
"1...1330" "AM167906.1" 1 828 "gene" "ALY protein" NA "aly"
"1...1331" "AM167905.1" 1 741 "gene" "ALY protein" NA "aly"
"1...1332" "AB196362.1" 1 696 "gene" "class II ethylene responsive element binding factor-like protein" NA "NbCD1"
"1...1333" "AY899937.1" 34 426 "CDS" "photosystem I reaction center subunit X PSI-K" "AAW83128.1" NA
"1...1334" "AM236597.1" 1 837 "gene" "sterol decarboxylase" NA "c4acd"
"1...1335" "AM236596.1" 1 715 "gene" "1-deoxy-D-xylulose-5-phosphate reductoisomerase" NA "dxr"
"1...1336" "AB248519.1" 111 383 "CDS" "hypothetical protein" NA NA
"1...1337" "AB248518.1" 39 623 "CDS" "hypothetical protein" NA NA
"1...1338" "AB248517.1" 142 471 "CDS" "hypothetical protein" NA NA
"1...1339" "AB248516.1" 69 311 "CDS" "hypothetical protein" NA NA
"1...1340" "AB248515.1" 85 1362 "CDS" "hypothetical protein" NA NA
"1...1341" "AB245431.1" 1 3163 "gene" NA NA "NR2"
"2...1342" "AB245431.1" 124 2838 "CDS" "nitrate reductase 2" NA NA
"1...1343" "AB238224.1" 1 3122 "gene" NA NA "NR"
"2...1344" "AB238224.1" 128 2842 "CDS" "nitrate reductase" NA NA
"1...1345" "DQ645452.1" 1 1044 "gene" "RNA export 1" "ABG29731.1" "RAE1"
"1...1346" "DQ121387.1" 1 840 "CDS" "PHB1" "AAZ30376.1" "NbPHB1"
"1...1347" "AY391715.1" 1 1164 "gene" "UDP-D-apiose/UDP-D-xylose synthase" "AAQ91380.1" "AXS1"
"1...1348" "DQ084022.1" 37 1119 "CDS" "cysteine proteinase aleuran type" "AAZ32410.1" "NbCYP1"
"1...1349" "AB111943.2" 1 1531 "gene" NA NA "NbPPS3"
"2...1350" "AB111943.2" 158 1300 "CDS" "hypothetical protein" NA NA
"1...1351" "AB219069.1" 1 939 "gene" NA NA "NbPCL1"
"1...1352" "AB210224.1" 1 1191 "gene" "protein phosphatase 2C" NA "NbP2C"
"1...1353" "DQ054580.1" 484 4980 "gene" NA NA "NRG1"
"2...1354" "DQ054580.1" 484 1207 "mRNA" NA NA NA
"3...1355" "DQ054580.1" 1946 2337 NA NA NA NA
"4...1356" "DQ054580.1" 2595 2977 NA NA NA NA
"5...1357" "DQ054580.1" 3813 4024 NA NA NA NA
"6...1358" "DQ054580.1" 4139 4980 NA "NRG1" "AAY54606.1" "CC-NB-LRR"
"7...1359" "DQ054580.1" 484 1269 "mRNA" "truncated NRG1" "AAY54607.1" "NRG1TR"
"1...1360" "DQ000309.1" 1 1710 "gene" "glutamyl-tRNA synthetase" "AAY18610.1" "GRS"
"1...1361" "AJ697696.1" 1 759 "gene" "ALY protein" NA "aly"
"1...1362" "AJ697695.1" 1 750 "gene" "ALY protein" NA "aly"
"1...1363" "AJ580839.1" 1 591 "gene" NA NA "sce1"
"2...1364" "AJ580839.1" 97 579 "CDS" "SUMO E2 conjugating enzyme SCE1" NA NA
"1...1365" "AJ571699.1" 1 351 "gene" "magnesium chelatase subunit" NA "su-s"
"1...1366" "AJ295993.1" 1 1341 "gene" NA NA "gnTI"
"2...1367" "AJ295993.1" 76 1341 "CDS" "N-acetylglucosaminyltransferase I" NA NA
"1...1368" "AJ344156.1" 1 1746 "gene" "calcium-dependent protein kinase 2" NA "cdpk2"
"1...1369" "AY899199.1" 1 1113 "CDS" "SGT1" "AAW82048.1" "molecular chaperone"
"1...1370" "AY912494.1" 1 471 "mRNA" "ubiquitin/s27a 40S ribosomal protein" "AAX07419.1" "ubiquitin extension protein s27a"
"1...1371" "AY899938.1" 208 723 "CDS" "zinc finger protein" "AAW83129.1" NA
"1...1372" "AJ864714.1" 1 2022 "gene" NA NA "x34.2"
"2...1373" "AJ864714.1" 292 1644 "CDS" "putative glycosyltransferase" NA NA
"1...1374" "AJ864709.1" 1 1568 "gene" NA NA "x34.3"
"2...1375" "AJ864709.1" 41 1372 "CDS" "alpha-6-galactosyltransferase" NA NA
"1...1376" "AB181188.1" 1 851 "gene" "vacuolar processing enzyme 1b" NA "NbVPE-1b"
"1...1377" "AB181187.1" 1 851 "gene" "vacuolar processing enzyme 1a" NA "NbVPE-1a"
"1...1378" "AB105430.2" 1 1203 "gene" NA NA "Hsp70"
"2...1379" "AB105430.2" 1 1154 "CDS" "heat shock protein 70" NA NA
"1...1380" "AB181296.1" 1 710 "gene" "heat shock protein 70" NA "Hsp70"
"1...1381" "AB181295.1" 1 741 "gene" "heat shock protein 70" NA "Hsp70"
"1...1382" "AJ555865.1" 1 957 "gene" "hydroxycinnamoyl-CoA hydroxycinnamoyltransferase" NA "hct"
"1...1383" "AJ571700.1" 1 409 "gene" "phytoene desaturase" NA "pds"
"1...1384" "AB113029.1" 1 268 "gene" NA NA "Hsp90"
"2...1385" "AB113029.1" 1 248 "CDS" "heat shock protein 90" NA NA
"1...1386" "AB113028.1" 1 265 "gene" NA NA "Hsp90"
"2...1387" "AB113028.1" 1 245 "CDS" "heat shock protein 90" NA NA
"1...1388" "AB112816.1" 1 351 "gene" NA NA "Hsp70"
"2...1389" "AB112816.1" 1 327 "CDS" "heat shock protein 70" NA NA
"1...1390" "AB112815.1" 1 313 "gene" NA NA "Hsp70"
"2...1391" "AB112815.1" 1 273 "CDS" "heat shock protein 70" NA NA
"1...1392" "AB112814.1" 1 422 "gene" NA NA "Hsp70"
"2...1393" "AB112814.1" 1 414 "CDS" "heat shock protein 70" NA NA
"1...1394" "AB112813.1" 1 264 "gene" NA NA "Hsp90"
"2...1395" "AB112813.1" 1 243 "CDS" "heat shock protein 90" NA NA
"1...1396" "AB098730.1" 1 1206 "gene" NA NA "NbSIPK"
"2...1397" "AB098730.1" 1 1182 "CDS" "salicylic acid-induced protein kinase" NA NA
"1...1398" "AB098729.1" 1 1195 "gene" NA NA "NbWIPK"
"2...1399" "AB098729.1" 1 1131 "CDS" "wound-inuduced protein kinase" NA NA
"1...1400" "AX666019.1" 28 48 "CDS" NA NA NA
"1...1401" "AB079499.1" 1 3290 "gene" NA NA "NbrbohB"
"2...1402" "AB079499.1" 277 3096 "CDS" "respiratory burst oxidase homolog" NA NA
"1...1403" "AB079498.1" 1 3732 "gene" NA NA "NbrbohA"
"2...1404" "AB079498.1" 151 3039 "CDS" "respiratory burst oxidase homolog" NA NA
"1...1405" "AX250447.1" 1 360 "CDS" NA NA NA
"1...1406" "AX250445.1" 1 381 "CDS" NA NA NA
"1...1407" "AX250443.1" 1 357 "CDS" NA NA NA
"1...1408" "AX250439.1" 1 324 "CDS" NA NA NA
"1...1409" "AX250437.1" 1 297 "CDS" NA NA NA
"1...1410" "AX250435.1" 1 540 "CDS" NA NA NA
"1...1411" "AX250423.1" 1 717 "CDS" NA NA NA
"1...1412" "AX250421.1" 1 765 "CDS" NA NA NA
"1...1413" "AX250415.1" 1 312 "CDS" NA NA NA
"1...1414" "AX250405.1" 1 696 "CDS" NA NA NA
"1...1415" "AB040014.1" 7 1536 "gene" "maturase K" NA "matK"
"1...1416" "AX080089.1" 15 673 "CDS" NA NA NA
